Platform,Platform2,Platform3
PS2,PS2,PlayStation 2
PC,PC,PC
X360,X360,Xbox360
PS3,PS3,PlayStation 2
Wii,Wii,Wii
DS,DS,Nintendo DS
PS,PS,PlayStation
PS4,PS4,PlayStation4
3DS,3DS,Nintendo 3DS
GBA,GBA,Game Boy Advance
PSP,PSP,Sony PSP
XOne,XOne,Xbox1
XB,XB,XBox
NES,NES,Nintendo Entertainment System
GB,GB,Game Boy
N64,N64,Nintendo64
SNES,SNES,Super Nintendo Entertainment System
GC,GC,Game Cube
NS,NS,Nintento Switch
WiiU,WiiU,WiiU
2600,other,other
PSV,other,other
GEN,other,other
SAT,other,other
GBC,other,other
DC,other,other
PSN,other,other
SCD,other,other
NG,other,other
WS,other,other
XBL,other,other
VC,other,other
Amig,other,other
WW,other,other
3DO,other,other
PCE,other,other
Mob,other,other
GG,other,other
OSX,other,other
PCFX,other,other
5200,other,other
7800,other,other
Aco,other,other
ACPC,other,other
AJ,other,other
And,other,other
ApII,other,other
Arc,other,other
AST,other,other
BBCM,other,other
BRW,other,other
C128,other,other
C64,other,other
CD32,other,other
CDi,other,other
DSi,other,other
DSiW,other,other
FMT,other,other
GIZ,other,other
Int,other,other
iOS,other,other
iQue,other,other
Linux,other,other
Lynx,other,other
MS,other,other
MSD,other,other
MSX,other,other
NGage,other,other
Ouya,other,other
S32X,other,other
TG16,other,other
VB,other,other
WinP,other,other
ZXS,other,other
