Publisher,Publisher2,Publisher3
Nintendo,Nintendo,Nintendo
Activision,Activision,Activision
Electronic Arts,Electronic Arts,Electronic Arts
Sony Computer Entertainment,Sony Computer Entertainment,Sony Computer Entertainment
Ubisoft,Ubisoft,Ubisoft
EA Sports,EA Sports,other
THQ,THQ,other
Sega,Sega,other
Rockstar Games,Rockstar Games,other
Capcom,Capcom,other
Konami,Konami,other
Square Enix,Square Enix,other
Atari,Atari,other
Microsoft Game Studios,Microsoft Game Studios,Microsoft Game Studios
Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,other
Namco,Namco,other
LucasArts,LucasArts,other
Bethesda Softworks,Bethesda Softworks,other
Disney Interactive Studios,Disney Interactive Studios,other
Microsoft Studios,Microsoft Studios,other
2K Sports,2K Sports,other
Eidos Interactive,other,other
Namco Bandai,other,other
Midway Games,other,other
Blizzard Entertainment,other,other
Namco Bandai Games,other,other
Warner Bros. Interactive,other,other
2K Games,other,other
Acclaim Entertainment,other,other
Majesco,other,other
Sony Interactive Entertainment,other,other
VU Games,other,other
Square,other,other
Bandai,other,other
Codemasters,other,other
Atlus,other,other
Mojang,other,other
PUBG Corporation,other,other
Konami Digital Entertainment,other,other
Enix,other,other
Deep Silver,other,other
KOEI,other,other
D3 Publisher,other,other
Microsoft,other,other
MTV Games,other,other
EA Sports BIG,other,other
505 Games,other,other
RedOctane,other,other
Crave Entertainment,other,other
Tecmo Koei,other,other
Square EA,other,other
Sony Computer Entertainment America,other,other
Hudson Soft,other,other
Take-Two Interactive,other,other
Tecmo,other,other
Sierra Entertainment,other,other
989 Studios,other,other
Natsume,other,other
Hasbro Interactive,other,other
Focus Home Interactive,other,other
GT Interactive,other,other
NIS America,other,other
Valve,other,other
Banpresto,other,other
Vivendi Games,other,other
Xseed Games,other,other
Valve Corporation,other,other
Level 5,other,other
2K Play,other,other
Devolver Digital,other,other
Telltale Games,other,other
Infogrames,other,other
Buena Vista,other,other
Paradox Interactive,other,other
Universal Interactive,other,other
3DO,other,other
NCSoft,other,other
Aksys Games,other,other
ASCII Entertainment,other,other
Global Star Software,other,other
Agetec,other,other
Gotham Games,other,other
SouthPeak Interactive,other,other
Facepunch Studios,other,other
Interplay,other,other
Virgin Interactive,other,other
Destineer,other,other
Fox Interactive,other,other
City Interactive,other,other
Nordic Games,other,other
Edmund McMillen,other,other
TDK Mediactive,other,other
BAM! Entertainment,other,other
Broderbund,other,other
Studio Wildcard,other,other
Conspiracy Entertainment,other,other
SCS Software,other,other
Ultra Games,other,other
Zoo Games,other,other
"Infocom, Inc.",other,other
Maxis,other,other
THQ Nordic,other,other
"Destination Software, Inc",other,other
PopCap Games,other,other
Bandai Namco Games,other,other
Empire Interactive,other,other
Endnight Games Ltd,other,other
Sony Online Entertainment,other,other
Parker Bros.,other,other
Chucklefish,other,other
Imagic,other,other
Tengen,other,other
Arena Entertainment,other,other
Ignition Entertainment,other,other
Gearbox Software,other,other
Jaleco,other,other
Idea Factory,other,other
Red Orb,other,other
Rare,other,other
Mattel Interactive,other,other
Accolade,other,other
Tomy Corporation,other,other
Maximum Games,other,other
The Fun Pimps,other,other
Coleco,other,other
The Behemoth,other,other
Bandai Namco Entertainment,other,other
Psygnosis,other,other
Gathering of Developers,other,other
Mastiff,other,other
Game Factory,other,other
GameMill,other,other
Hello Games,other,other
ChunSoft,other,other
Toby Fox,other,other
Mindscape,other,other
DSI Games,other,other
SNK,other,other
Frontier Developments,other,other
Nicalis,other,other
Titus,other,other
UFO Interactive,other,other
Takara,other,other
Activision Blizzard,other,other
Valve Software,other,other
Frozenbyte,other,other
D3Publisher,other,other
DreamCatcher Interactive,other,other
NewKidCo,other,other
Kadokawa Shoten,other,other
Sammy Corporation,other,other
Introversion Software,other,other
Scholastic Inc.,other,other
Unknown Worlds Entertainment,other,other
Williams Entertainment,other,other
Aspyr,other,other
Daedalic Entertainment,other,other
Team17 Software,other,other
Zoo Digital Publishing,other,other
Human Entertainment,other,other
SNK Playmore,other,other
Sunflowers,other,other
Alchemist,other,other
XS Games,other,other
Taito,other,other
Red Storm Entertainment,other,other
Hitbox Team,other,other
Storm City Games,other,other
Trendy Entertainment,other,other
Compile,other,other
Bossa Studios,other,other
Takara Tomy,other,other
Kalypso Media,other,other
Working Designs,other,other
ASC Games,other,other
Westwood Studios,other,other
Remedy Entertainment,other,other
3909 LLC,other,other
Kemco,other,other
Valcon Games,other,other
Berserk Games,other,other
Little Orbit,other,other
Falcom,other,other
Rebellion Developments,other,other
Red Hook Studios,other,other
5pb,other,other
Imagineer,other,other
Ocean,other,other
Marvelous Interactive,other,other
GameMill Entertainment,other,other
Tripwire Interactive,other,other
Ndemic Creations,other,other
Video System,other,other
Mud Duck Productions,other,other
O-Games,other,other
Yacht Club Games,other,other
Enterbrain,other,other
20th Century Fox Video Games,other,other
Spike,other,other
Whiptail Interactive,other,other
Rocket Company,other,other
Mumbo Jumbo,other,other
Hinterland Studio Inc.,other,other
Crystal Dynamics,other,other
Hudson Entertainment,other,other
LEGO Media,other,other
GungHo Online Entertainment,other,other
Kalypso,other,other
Studio MDHR,other,other
Black Label Games,other,other
Greenheart Games,other,other
CDV Software Entertainment,other,other
Playmates,other,other
IE Institute,other,other
Invisible Handlebar,other,other
Nippon Columbia,other,other
Brash Entertainment,other,other
Knowledge Adventure,other,other
Cellar Door Games,other,other
Microprose,other,other
Koei Tecmo,other,other
Touchstone,other,other
Tigervision,other,other
Koch Media,other,other
Sold Out,other,other
Pinnacle,other,other
Spike Chunsoft,other,other
Double Fine Productions,other,other
FuRyu Corporation,other,other
Harmonix Music Systems,other,other
Nippon Ichi Software,other,other
Trapdoor,other,other
Milestone S.r.l.,other,other
Idea Factory International,other,other
Monomi Park,other,other
Aruze Corp,other,other
Trion Worlds,other,other
Epoch,other,other
Mega Crit Games,other,other
Saga Planets,other,other
Arc System Works,other,other
Warhorse Studios,other,other
Broccoli,other,other
Mentor Interactive,other,other
PQube,other,other
Acquire,other,other
Bigben Interactive,other,other
Amanita Design,other,other
Encore,other,other
Number None,other,other
Simon & Schuster Interactive,other,other
"mixi, Inc",other,other
SUPERHOT Team,other,other
Team Cherry,other,other
Telegames,other,other
Back To Basics Gaming,other,other
Crytek,other,other
Taxan,other,other
Jorudan,other,other
Jackbox Games,other,other
Gaijin Entertainment,other,other
"Mossmouth, LLC",other,other
Prototype,other,other
Seta Corporation,other,other
Abbey Games,other,other
Gamecock,other,other
Falcom Corporation,other,other
Playlogic Game Factory,other,other
Compile Heart,other,other
EuroVideo Medien,other,other
Hip Interactive,other,other
Graffiti,other,other
Kunos Simulazioni,other,other
Majesco Entertainment,other,other
Motion Twin,other,other
NEC Interchannel,other,other
NovaLogic,other,other
Mystique,other,other
New Reality Games,other,other
Messhof,other,other
Gust,other,other
Aquaplus,other,other
Men-A-Vision,other,other
Almost Human,other,other
DL Softworks,other,other
Terry Cavanagh,other,other
Triumph Studios,other,other
Gun Media,other,other
Kadokawa Games,other,other
The Adventure Company,other,other
Two Tribes,other,other
DrinkBox Studios,other,other
Joey Drew Studios Inc.,other,other
Mad Catz,other,other
Navarre Corp,other,other
Data Age,other,other
Quest,other,other
Positech Games,other,other
Rising Star Games,other,other
Wizards of the Coast,other,other
GSP,other,other
Playdead,other,other
Shiro Games,other,other
Grey Box,other,other
Nighthawk Interactive,other,other
Elf,other,other
Outright Games,other,other
Defiant Development,other,other
Re-Logic,other,other
SSI,other,other
Astragon,other,other
Big Ben Interactive,other,other
Rebellion Games,other,other
Team17 Digital Ltd,other,other
Avanquest,other,other
BetaDwarf,other,other
Cold Beam Games,other,other
Lace Mamba Global,other,other
CokeM Interactive,other,other
Studio Pixel,other,other
Irem Software Engineering,other,other
DECK13 Interactive GmbH,other,other
Vatical Entertainment,other,other
Young Horses,other,other
Red Mile Entertainment,other,other
Hidden Path Entertainment,other,other
Kiss,other,other
Paramount Digital Entertainment,other,other
SquareSoft,other,other
KillHouse Games,other,other
Microids,other,other
Spectrum Holobyte,other,other
TinyBuild Games,other,other
CPG Products,other,other
ESP,other,other
Stardock,other,other
Fireproof Games,other,other
ValuSoft,other,other
BPS,other,other
DTP Entertainment,other,other
EQ Games,other,other
Milestone S.r.l,other,other
Rooster Teeth Games,other,other
Soedesco,other,other
Viva Media,other,other
Answer Software,other,other
ArtDink,other,other
Hect,other,other
Hot-B,other,other
Black Pearl,other,other
Frictional Games,other,other
"Thekla, Inc.",other,other
Vertigo Gaming Inc.,other,other
10TACLE Studios,other,other
704Games,other,other
Facepalm Games,other,other
Invent4 Entertainment,other,other
Strategy First,other,other
Modulaatio Games,other,other
inXile Entertainment,other,other
Milkstone Studios,other,other
Victor Interactive,other,other
Media Rings,other,other
Victory Lap Games,other,other
Shogakukan,other,other
Zen Studios,other,other
MTO,other,other
TDK Core,other,other
Angel Studios,other,other
NEC,other,other
Coffee Stain Studios,other,other
Jack of All Games,other,other
Marvelous Entertainment,other,other
Activision Value,other,other
JForce Games,other,other
Ninja Theory,other,other
TYO,other,other
Headup Games,other,other
Sunsoft,other,other
Xicat Interactive,other,other
Hemisphere Games,other,other
Ironhide Game Studio,other,other
Magical Company,other,other
Bold Games,other,other
NCS,other,other
JoWood Productions,other,other
P2 Games,other,other
Thomas Happ Games,other,other
989 Sports,other,other
Black Bean Games,other,other
Double Damage Games,other,other
GameTrust,other,other
Jetdogs Studios,other,other
Lazy 8 Studios,other,other
The Astronauts,other,other
"Arcen Games, LLC",other,other
E-Line Media,other,other
Fabio Ricci,other,other
Image & Form Games,other,other
Tru Blu Entertainment,other,other
Aqua Plus,other,other
GSC Game World,other,other
New,other,other
Tommo,other,other
AGM Playism,other,other
GrabTheGames,other,other
Insomniac Games,other,other
Magix,other,other
Polytron Corporation,other,other
Versus Evil,other,other
Iceberg Interactive,other,other
ITT Family Games,other,other
Puppy Games,other,other
Quinrose,other,other
Dagestan Technology,other,other
Asylum Entertainment,other,other
Benesse,other,other
Dramatic Create,other,other
Legacy Interactive,other,other
MLB Advanced Media,other,other
Pioneer LDC,other,other
Rondomedia,other,other
A1 Games,other,other
Gaijinworks,other,other
Broken Rules,other,other
Siberian Digital,other,other
Hamster Corporation,other,other
Wargaming.net,other,other
CBS Electronics,other,other
Evolved Games,other,other
"H2 Interactive Co., Ltd.",other,other
Hackberry,other,other
Home Entertainment Suppliers,other,other
Kokopeli Digital Studios,other,other
Marvelous,other,other
Oddworld Inhabitants,other,other
Sam Barlow,other,other
Snail Games USA,other,other
Tribute Games,other,other
Vlambeer,other,other
Skybound Games,other,other
Merge Games,other,other
Metro 3D,other,other
Sidhe Interactive,other,other
ARUSH Entertainment,other,other
Detn8 Games,other,other
Media Factory,other,other
MLB.com,other,other
CyberFront,other,other
Lince Works,other,other
Neocore Games,other,other
Out of crumpet's:,other,other
Ysbryd Games,other,other
ASCII Media Works,other,other
Culture Brain,other,other
