Publisher,Publisher2
Nintendo,Nintendo
Activision,Activision
Electronic Arts,Electronic Arts
Sony Computer Entertainment,Sony Computer Entertainment
Ubisoft,Ubisoft
EA Sports,EA Sports
THQ,THQ
Sega,Sega
Rockstar Games,Rockstar Games
Capcom,Capcom
Konami,Konami
Square Enix,Square Enix
Atari,Atari
Microsoft Game Studios,Microsoft Game Studios
Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment
Namco,Namco
LucasArts,LucasArts
Bethesda Softworks,Bethesda Softworks
Disney Interactive Studios,Disney Interactive Studios
Microsoft Studios,Microsoft Studios
2K Sports,2K Sports
Eidos Interactive,other
Namco Bandai,other
Midway Games,other
Blizzard Entertainment,other
Namco Bandai Games,other
Warner Bros. Interactive,other
2K Games,other
Acclaim Entertainment,other
Majesco,other
Sony Interactive Entertainment,other
VU Games,other
Square,other
Bandai,other
Codemasters,other
Atlus,other
Mojang,other
PUBG Corporation,other
Konami Digital Entertainment,other
Enix,other
Deep Silver,other
KOEI,other
D3 Publisher,other
Microsoft,other
MTV Games,other
EA Sports BIG,other
505 Games,other
RedOctane,other
Crave Entertainment,other
Tecmo Koei,other
Square EA,other
Sony Computer Entertainment America,other
Hudson Soft,other
Take-Two Interactive,other
Tecmo,other
Sierra Entertainment,other
989 Studios,other
Natsume,other
Hasbro Interactive,other
Focus Home Interactive,other
GT Interactive,other
NIS America,other
Valve,other
Banpresto,other
Vivendi Games,other
Xseed Games,other
Valve Corporation,other
Level 5,other
2K Play,other
Devolver Digital,other
Telltale Games,other
Infogrames,other
Buena Vista,other
Paradox Interactive,other
Universal Interactive,other
3DO,other
NCSoft,other
Aksys Games,other
ASCII Entertainment,other
Global Star Software,other
Agetec,other
Gotham Games,other
SouthPeak Interactive,other
Facepunch Studios,other
Interplay,other
Virgin Interactive,other
Destineer,other
Fox Interactive,other
City Interactive,other
Nordic Games,other
Edmund McMillen,other
TDK Mediactive,other
BAM! Entertainment,other
Broderbund,other
Studio Wildcard,other
Conspiracy Entertainment,other
SCS Software,other
Ultra Games,other
Zoo Games,other
"Infocom, Inc.",other
Maxis,other
THQ Nordic,other
"Destination Software, Inc",other
PopCap Games,other
Bandai Namco Games,other
Empire Interactive,other
Endnight Games Ltd,other
Sony Online Entertainment,other
Parker Bros.,other
Chucklefish,other
Imagic,other
Tengen,other
Arena Entertainment,other
Ignition Entertainment,other
Gearbox Software,other
Jaleco,other
Idea Factory,other
Red Orb,other
Rare,other
Mattel Interactive,other
Accolade,other
Tomy Corporation,other
Maximum Games,other
The Fun Pimps,other
Coleco,other
The Behemoth,other
Bandai Namco Entertainment,other
Psygnosis,other
Gathering of Developers,other
Mastiff,other
Game Factory,other
GameMill,other
Hello Games,other
ChunSoft,other
Toby Fox,other
Mindscape,other
DSI Games,other
SNK,other
Frontier Developments,other
Nicalis,other
Titus,other
UFO Interactive,other
Takara,other
Activision Blizzard,other
Valve Software,other
Frozenbyte,other
D3Publisher,other
DreamCatcher Interactive,other
NewKidCo,other
Kadokawa Shoten,other
Sammy Corporation,other
Introversion Software,other
Scholastic Inc.,other
Unknown Worlds Entertainment,other
Williams Entertainment,other
Aspyr,other
Daedalic Entertainment,other
Team17 Software,other
Zoo Digital Publishing,other
Human Entertainment,other
SNK Playmore,other
Sunflowers,other
Alchemist,other
XS Games,other
Taito,other
Red Storm Entertainment,other
Hitbox Team,other
Storm City Games,other
Trendy Entertainment,other
Compile,other
Bossa Studios,other
Takara Tomy,other
Kalypso Media,other
Working Designs,other
ASC Games,other
Westwood Studios,other
Remedy Entertainment,other
3909 LLC,other
Kemco,other
Valcon Games,other
Berserk Games,other
Little Orbit,other
Falcom,other
Rebellion Developments,other
Red Hook Studios,other
5pb,other
Imagineer,other
Ocean,other
Marvelous Interactive,other
GameMill Entertainment,other
Tripwire Interactive,other
Ndemic Creations,other
Video System,other
Mud Duck Productions,other
O-Games,other
Yacht Club Games,other
Enterbrain,other
20th Century Fox Video Games,other
Spike,other
Whiptail Interactive,other
Rocket Company,other
Mumbo Jumbo,other
Hinterland Studio Inc.,other
Crystal Dynamics,other
Hudson Entertainment,other
LEGO Media,other
GungHo Online Entertainment,other
Kalypso,other
Studio MDHR,other
Black Label Games,other
Greenheart Games,other
CDV Software Entertainment,other
Playmates,other
IE Institute,other
Invisible Handlebar,other
Nippon Columbia,other
Brash Entertainment,other
Knowledge Adventure,other
Cellar Door Games,other
Microprose,other
Koei Tecmo,other
Touchstone,other
Tigervision,other
Koch Media,other
Sold Out,other
Pinnacle,other
Spike Chunsoft,other
Double Fine Productions,other
FuRyu Corporation,other
Harmonix Music Systems,other
Nippon Ichi Software,other
Trapdoor,other
Milestone S.r.l.,other
Idea Factory International,other
Monomi Park,other
Aruze Corp,other
Trion Worlds,other
Epoch,other
Mega Crit Games,other
Saga Planets,other
Arc System Works,other
Warhorse Studios,other
Broccoli,other
Mentor Interactive,other
PQube,other
Acquire,other
Bigben Interactive,other
Amanita Design,other
Encore,other
Number None,other
Simon & Schuster Interactive,other
"mixi, Inc",other
SUPERHOT Team,other
Team Cherry,other
Telegames,other
Back To Basics Gaming,other
Crytek,other
Taxan,other
Jorudan,other
Jackbox Games,other
Gaijin Entertainment,other
"Mossmouth, LLC",other
Prototype,other
Seta Corporation,other
Abbey Games,other
Gamecock,other
Falcom Corporation,other
Playlogic Game Factory,other
Compile Heart,other
EuroVideo Medien,other
Hip Interactive,other
Graffiti,other
Kunos Simulazioni,other
Majesco Entertainment,other
Motion Twin,other
NEC Interchannel,other
NovaLogic,other
Mystique,other
New Reality Games,other
Messhof,other
Gust,other
Aquaplus,other
Men-A-Vision,other
Almost Human,other
DL Softworks,other
Terry Cavanagh,other
Triumph Studios,other
Gun Media,other
Kadokawa Games,other
The Adventure Company,other
Two Tribes,other
DrinkBox Studios,other
Joey Drew Studios Inc.,other
Mad Catz,other
Navarre Corp,other
Data Age,other
Quest,other
Positech Games,other
Rising Star Games,other
Wizards of the Coast,other
GSP,other
Playdead,other
Shiro Games,other
Grey Box,other
Nighthawk Interactive,other
Elf,other
Outright Games,other
Defiant Development,other
Re-Logic,other
SSI,other
Astragon,other
Big Ben Interactive,other
Rebellion Games,other
Team17 Digital Ltd,other
Avanquest,other
BetaDwarf,other
Cold Beam Games,other
Lace Mamba Global,other
CokeM Interactive,other
Studio Pixel,other
Irem Software Engineering,other
DECK13 Interactive GmbH,other
Vatical Entertainment,other
Young Horses,other
Red Mile Entertainment,other
Hidden Path Entertainment,other
Kiss,other
Paramount Digital Entertainment,other
SquareSoft,other
KillHouse Games,other
Microids,other
Spectrum Holobyte,other
TinyBuild Games,other
CPG Products,other
ESP,other
Stardock,other
Fireproof Games,other
ValuSoft,other
BPS,other
DTP Entertainment,other
EQ Games,other
Milestone S.r.l,other
Rooster Teeth Games,other
Soedesco,other
Viva Media,other
Answer Software,other
ArtDink,other
Hect,other
Hot-B,other
Black Pearl,other
Frictional Games,other
"Thekla, Inc.",other
Vertigo Gaming Inc.,other
10TACLE Studios,other
704Games,other
Facepalm Games,other
Invent4 Entertainment,other
Strategy First,other
Modulaatio Games,other
inXile Entertainment,other
Milkstone Studios,other
Victor Interactive,other
Media Rings,other
Victory Lap Games,other
Shogakukan,other
Zen Studios,other
MTO,other
TDK Core,other
Angel Studios,other
NEC,other
Coffee Stain Studios,other
Jack of All Games,other
Marvelous Entertainment,other
Activision Value,other
JForce Games,other
Ninja Theory,other
TYO,other
Headup Games,other
Sunsoft,other
Xicat Interactive,other
Hemisphere Games,other
Ironhide Game Studio,other
Magical Company,other
Bold Games,other
NCS,other
JoWood Productions,other
P2 Games,other
Thomas Happ Games,other
989 Sports,other
Black Bean Games,other
Double Damage Games,other
GameTrust,other
Jetdogs Studios,other
Lazy 8 Studios,other
The Astronauts,other
"Arcen Games, LLC",other
E-Line Media,other
Fabio Ricci,other
Image & Form Games,other
Tru Blu Entertainment,other
Aqua Plus,other
GSC Game World,other
New,other
Tommo,other
AGM Playism,other
GrabTheGames,other
Insomniac Games,other
Magix,other
Polytron Corporation,other
Versus Evil,other
Iceberg Interactive,other
ITT Family Games,other
Puppy Games,other
Quinrose,other
Dagestan Technology,other
Asylum Entertainment,other
Benesse,other
Dramatic Create,other
Legacy Interactive,other
MLB Advanced Media,other
Pioneer LDC,other
Rondomedia,other
A1 Games,other
